Country_code,Sector,d2014_2024,grid,d2014_2023
SGP,Legal services,,grid2023B,-11.584549903869629
AUS,Legal services,,grid2023B,-12.60946273803711
LUX,Legal services,,grid2023B,-79.86690521240234
LTU,Telecommunication,,grid2023B,43.49494552612305
POL,Telecommunication,,grid2023B,39.66460418701172
DNK,Telecommunication,,grid2023B,35.4013557434082
MYS,Telecommunication,,grid2023B,-20.396995544433594
BRA,Telecommunication,,grid2023B,-20.58576774597168
MEX,Telecommunication,,grid2023B,-27.362470626831055
RUS,Air transport,,grid2023B,11.703837394714355
NZL,Air transport,,grid2023B,7.3262152671813965
POL,Air transport,,grid2023B,7.130380630493164
IND,Air transport,,grid2023B,-20.27690887451172
GBR,Air transport,,grid2023B,-46.9273681640625
BRA,Air transport,,grid2023B,-62.862457275390625
RUS,Maritime transport,,grid2023B,32.56410217285156
POL,Maritime transport,,grid2023B,30.721654891967773
CHL,Maritime transport,,grid2023B,20.26021957397461
BRA,Maritime transport,,grid2023B,-23.1053524017334
GBR,Maritime transport,,grid2023B,-25.769237518310547
CHN,Maritime transport,,grid2023B,-34.61537170410156
HUN,Rail freight transport,,grid2023B,32.42677688598633
LTU,Rail freight transport,,grid2023B,19.956607818603516
NZL,Rail freight transport,,grid2023B,18.15008544921875
BRA,Rail freight transport,,grid2023B,-19.682153701782227
PRT,Rail freight transport,,grid2023B,-21.88842010498047
CHN,Rail freight transport,,grid2023B,-25.52986717224121
RUS,Road freight transport,,grid2023B,46.793460845947266
ZAF,Road freight transport,,grid2023B,36.22393035888672
HUN,Road freight transport,,grid2023B,29.838083267211914
THA,Road freight transport,,grid2023B,-15.72144603729248
CHN,Road freight transport,,grid2023B,-16.94791030883789
AUS,Road freight transport,,grid2023B,-23.092788696289062
