Sector_name,country_here,stri_score,stri_score_intraeea,Grid
Customs brokerage,GRC,0.20302173495292664,0.035174690186977386,STRI2023
Market bridging and supporting services,GRC,,,STRI2023
Legal services,GRC,0.45449432730674744,0.08735588937997818,STRI2023
Accounting services,GRC,0.3785952031612396,0.1145927831530571,STRI2023
Commercial banking,GRC,0.2109965682029724,0.03848797082901001,STRI2023
Insurance,GRC,0.25059226155281067,0.009123443625867367,STRI2023
Physical infrastructure services,GRC,,,STRI2023
Construction,GRC,0.28684502840042114,0.032332893460989,STRI2023
Architecture services,GRC,0.22347375750541687,0.08246707916259766,STRI2023
Engineering services,GRC,0.21494589745998383,0.028065823018550873,STRI2023
Digital network,HUN,,,STRI2023
Computer services,HUN,0.2252856343984604,0.01473934669047594,STRI2023
Telecommunication,HUN,0.1775784194469452,0.03821614384651184,STRI2023
Broadcasting,HUN,0.195259690284729,0.05459057167172432,STRI2023
Motion pictures,HUN,0.19563299417495728,0.015274649485945702,STRI2023
Sound recording,HUN,0.20573690533638,0.013188262470066547,STRI2023
Logistics and related services,HUN,,,STRI2023
Air transport,HUN,0.4038783013820648,0.13051436841487885,STRI2023
Road freight transport,HUN,0.21796530485153198,0.019156096503138542,STRI2023
Rail freight transport,HUN,0.204127699136734,0.07223476469516754,STRI2023
Courier services,HUN,0.17779159545898438,0.05151078850030899,STRI2023
Distribution services,HUN,0.20163582265377045,0.07911650836467743,STRI2023
Cargo-handling,HUN,0.22244742512702942,0.040537118911743164,STRI2023
Storage and warehouse,HUN,0.21366894245147705,0.06587030738592148,STRI2023
Freight-forwarding,HUN,0.18666666746139526,0.01818181946873665,STRI2023
Customs brokerage,HUN,0.16690273582935333,0.035174690186977386,STRI2023
Market bridging and supporting services,HUN,,,STRI2023
Legal services,HUN,0.7067204117774963,0.12400412559509277,STRI2023
Accounting services,HUN,0.2222222238779068,0.06357856094837189,STRI2023
Commercial banking,HUN,0.21374571323394775,0.043986253440380096,STRI2023
Insurance,HUN,0.16926255822181702,0.014567266218364239,STRI2023
Physical infrastructure services,HUN,,,STRI2023
Construction,HUN,0.2347135990858078,0.00909553375095129,STRI2023
Architecture services,HUN,0.21739129722118378,0.08246707916259766,STRI2023
Engineering services,HUN,0.2159603238105774,0.028065823018550873,STRI2023
Digital network,IRL,,,STRI2023
Computer services,IRL,0.18583320081233978,0.01473934669047594,STRI2023
Telecommunication,IRL,0.11847413331270218,0.02866210788488388,STRI2023
Broadcasting,IRL,0.18011465668678284,0.048429880291223526,STRI2023
Motion pictures,IRL,0.136982262134552,0.010183099657297134,STRI2023
Sound recording,IRL,0.16287504136562347,0.013188262470066547,STRI2023
Logistics and related services,IRL,,,STRI2023
Air transport,IRL,0.38255032896995544,0.13581982254981995,STRI2023
Maritime transport,IRL,0.2022838443517685,0.04469820484519005,STRI2023
Road freight transport,IRL,0.18431270122528076,0.019156096503138542,STRI2023
Rail freight transport,IRL,0.16994518041610718,0.07223476469516754,STRI2023
Courier services,IRL,0.17037680745124817,0.06051331013441086,STRI2023
Distribution services,IRL,0.13693194091320038,0.05419556796550751,STRI2023
Cargo-handling,IRL,0.17278945446014404,0.019761843606829643,STRI2023
Storage and warehouse,IRL,0.18273037672042847,0.04056314006447792,STRI2023
Freight-forwarding,IRL,0.17818181216716766,0.004848484881222248,STRI2023
Customs brokerage,IRL,0.14423984289169312,0.023843247443437576,STRI2023
Market bridging and supporting services,IRL,,,STRI2023
Legal services,IRL,0.20592370629310608,0.11706814169883728,STRI2023
Accounting services,IRL,0.2210112065076828,0.08386315405368805,STRI2023
Commercial banking,IRL,0.1477663218975067,0.03848797082901001,STRI2023
Insurance,IRL,0.10131558775901794,0.009123443625867367,STRI2023
Physical infrastructure services,IRL,,,STRI2023
Construction,IRL,0.1718994826078415,0.00909553375095129,STRI2023
Architecture services,IRL,0.20590224862098694,0.08177408576011658,STRI2023
Engineering services,IRL,0.15430568158626556,0.007889990694820881,STRI2023
Digital network,ISL,,,STRI2023
Computer services,ISL,0.3806785047054291,0.05888590216636658,STRI2023
Telecommunication,ISL,0.2934933602809906,0.053202614188194275,STRI2023
Broadcasting,ISL,0.37657228112220764,0.09523402154445648,STRI2023
Motion pictures,ISL,0.3150886297225952,0.04572603479027748,STRI2023
Sound recording,ISL,0.34146609902381897,0.031212221831083298,STRI2023
Logistics and related services,ISL,,,STRI2023
Air transport,ISL,0.4791627526283264,0.14531660079956055,STRI2023
Maritime transport,ISL,0.3151712715625763,0.04078303277492523,STRI2023
Road freight transport,ISL,0.31762877106666565,0.08413150161504745,STRI2023
Courier services,ISL,0.29318755865097046,0.045732803642749786,STRI2023
Distribution services,ISL,0.31203094124794006,0.11961137503385544,STRI2023
Cargo-handling,ISL,0.339498370885849,0.0390169732272625,STRI2023
Storage and warehouse,ISL,0.3312115967273712,0.08976109325885773,STRI2023
Freight-forwarding,ISL,0.3272727429866791,0.0363636389374733,STRI2023
Customs brokerage,ISL,0.33593010902404785,0.05193578824400902,STRI2023
Market bridging and supporting services,ISL,,,STRI2023
Legal services,ISL,0.3479239046573639,0.11013216525316238,STRI2023
Accounting services,ISL,0.3186497092247009,0.08840447664260864,STRI2023
Commercial banking,ISL,0.2948453724384308,0.059106528759002686,STRI2023
Insurance,ISL,0.3254700005054474,0.019204597920179367,STRI2023
Physical infrastructure services,ISL,,,STRI2023
Construction,ISL,0.4232576787471771,0.0868043527007103,STRI2023
Architecture services,ISL,0.2933093011379242,0.12497112154960632,STRI2023
Engineering services,ISL,0.3181920349597931,0.047339946031570435,STRI2023
Digital network,ITA,,,STRI2023
Computer services,ITA,0.21503446996212006,0.05960244685411453,STRI2023
Telecommunication,ITA,0.16810433566570282,0.0361553430557251,STRI2023
Broadcasting,ITA,0.275177538394928,0.08693420141935349,STRI2023
Motion pictures,ITA,0.2338196337223053,0.05424458906054497,STRI2023
Sound recording,ITA,0.27563467621803284,0.054071877151727676,STRI2023
Logistics and related services,ITA,,,STRI2023
Air transport,ITA,0.39215323328971863,0.14587368071079254,STRI2023
Maritime transport,ITA,0.2531810700893402,0.05676998198032379,STRI2023
Road freight transport,ITA,0.20191560685634613,0.03442919999361038,STRI2023
Rail freight transport,ITA,0.1892937868833542,0.077071912586689,STRI2023
