Country,Average,STRI,CountryHere,OECD,Country_here,Grid
NLD,0.21626877784729004,0.1239830031991005,0.0,0.0,CHN,STRI2024
ESP,0.21626877784729004,0.12867987155914307,0.0,0.0,CHN,STRI2024
CZE,0.21626877784729004,0.13473795354366302,0.0,0.0,CHN,STRI2024
LVA,0.21626877784729004,0.14147448539733887,0.0,0.0,CHN,STRI2024
PRT,0.21626877784729004,0.14854809641838074,0.0,0.0,CHN,STRI2024
DEU,0.21626877784729004,0.15316149592399597,0.0,0.0,CHN,STRI2024
CHL,0.21626877784729004,0.15545350313186646,0.0,0.0,CHN,STRI2024
LTU,0.21626877784729004,0.15859384834766388,0.0,0.0,CHN,STRI2024
DNK,0.21626877784729004,0.15976166725158691,0.0,0.0,CHN,STRI2024
IRL,0.21626877784729004,0.16176770627498627,0.0,0.0,CHN,STRI2024
CRI,0.21626877784729004,0.1644618958234787,0.0,0.0,CHN,STRI2024
AUS,0.21626877784729004,0.16513071954250336,0.0,0.0,CHN,STRI2024
LUX,0.21626877784729004,0.16641250252723694,0.0,0.0,CHN,STRI2024
SVK,0.21626877784729004,0.17125633358955383,0.0,0.0,CHN,STRI2024
USA,0.21626877784729004,0.17250511050224304,0.0,0.0,CHN,STRI2024
EST,0.21626877784729004,0.1742456704378128,0.0,0.0,CHN,STRI2024
NZL,0.21626877784729004,0.1802259385585785,0.0,0.0,CHN,STRI2024
PER,0.21626877784729004,0.18035390973091125,0.0,0.0,CHN,STRI2024
OECD,0.21626877784729004,0.0,0.0,0.1898399442434311,CHN,STRI2024
COL,0.21626877784729004,0.1922615021467209,0.0,0.0,CHN,STRI2024
SWE,0.21626877784729004,0.20324401557445526,0.0,0.0,CHN,STRI2024
CAN,0.21626877784729004,0.20426681637763977,0.0,0.0,CHN,STRI2024
ZAF,0.21626877784729004,0.20510847866535187,0.0,0.0,CHN,STRI2024
FIN,0.21626877784729004,0.2056402564048767,0.0,0.0,CHN,STRI2024
